id,type,level,keyword,meaning,example_1,translation_1,example_2,translation_2,
60,vocabulary,TOPIK I,계획,plan,계획이 있어요,I have a plan,여행 계획을 세워요,I make a travel plan,
61,vocabulary,TOPIK I,고기,meat,고기를 먹어요,I eat meat,고기가 맛있어요,The meat is delicious,
62,vocabulary,TOPIK I,고등학교,high school,고등학교에 다녀요,I attend high school,고등학교가 멀어요,The high school is far,
63,vocabulary,TOPIK I,고등학생,high school student,저는 고등학생이에요,I am a high school student,고등학생들이 공부해요,High school students study,
64,vocabulary,TOPIK I,고르다,choose,옷을 골라요,I choose clothes,메뉴를 골랐어요,I chose the menu,
65,vocabulary,TOPIK I,고맙다,thankful,정말 고마워요,Thank you very much,도와줘서 고마워요,Thank you for helping me,
66,vocabulary,TOPIK I,고모,paternal aunt,고모를 만났어요,I met my paternal aunt,고모가 선물을 줬어요,My aunt gave me a gift,
67,vocabulary,TOPIK I,고모부,paternal uncle,고모부가 오셨어요,My paternal uncle came,고모부와 이야기해요,I talk with my paternal uncle,
68,vocabulary,TOPIK I,고속버스,express bus,고속버스를 타요,I take an express bus,고속버스 표를 샀어요,I bought an express bus ticket,
69,vocabulary,TOPIK I,고양이,cat,고양이가 귀여워요,The cat is cute,고양이를 키워요,I raise a cat,
70,vocabulary,TOPIK I,고장,broken,컴퓨터가 고장 났어요,The computer broke,고장을 고쳐요,I fix the problem,
71,vocabulary,TOPIK I,고추,red pepper,고추가 매워요,The red pepper is spicy,고추를 넣어요,I add red pepper,
72,vocabulary,TOPIK I,고추장,red pepper paste,고추장을 넣어요,I add red pepper paste,고추장이 매워요,Red pepper paste is spicy,
73,vocabulary,TOPIK I,고치다,fix,시계를 고쳐요,I fix the clock,컴퓨터를 고쳤어요,I fixed the computer,
74,vocabulary,TOPIK I,고프다,hungry,배가 고파요,I am hungry,너무 고파요,I am very hungry,
75,vocabulary,TOPIK I,고향,hometown,고향에 가요,I go to my hometown,제 고향은 부산이에요,My hometown is Busan,
76,vocabulary,TOPIK I,곧,soon,곧 도착해요,I will arrive soon,곧 시작해요,It will start soon,
77,vocabulary,TOPIK I,구월,September,구월에 학교가 시작돼요,School starts in September,구월은 가을이에요,September is autumn,
78,vocabulary,TOPIK I,구하다,save/rescue,사람을 구해요,I save a person,동물을 구했어요,I rescued an animal,
79,vocabulary,TOPIK I,국,soup,국을 먹어요,I eat soup,국이 뜨거워요,The soup is hot,
80,vocabulary,TOPIK I,국내,domestic,국내 여행을 해요,I travel domestically,국내 뉴스예요,It is domestic news,
81,vocabulary,TOPIK I,국립,national,국립 박물관에 가요,I go to the national museum,국립 공원이 유명해요,The national park is famous,
82,vocabulary,TOPIK I,국수,noodles,국수를 먹어요,I eat noodles,국수가 맛있어요,The noodles are delicious,
83,vocabulary,TOPIK I,국어,Korean language,국어를 공부해요,I study Korean language,국어 수업이 있어요,I have Korean language class,
84,vocabulary,TOPIK I,국적,nationality,국적이 뭐예요?,What is your nationality?,제 국적은 우크라이나예요,My nationality is Ukrainian,
85,vocabulary,TOPIK I,국제,international,국제 회의가 있어요,There is an international conference,국제 전화를 해요,I make an international call,
86,vocabulary,TOPIK I,군인,soldier,군인이 일해요,The soldier works,군인을 만났어요,I met a soldier,
87,vocabulary,TOPIK I,굽다,bake/grill,고기를 구워요,I grill meat,빵을 구워요,I bake bread,
88,vocabulary,TOPIK I,귀,ear,귀가 아파요,My ear hurts,귀를 막아요,I cover my ears,
89,vocabulary,TOPIK I,귀엽다,cute,아기가 귀여워요,The baby is cute,고양이가 귀여워요,The cat is cute,
90,vocabulary,TOPIK I,규칙,rule,규칙을 지켜요,I follow the rules,규칙이 중요해요,Rules are important,
91,vocabulary,TOPIK I,귤,mandarin orange,귤을 먹어요,I eat a mandarin orange,귤이 달아요,The mandarin orange is sweet,
92,vocabulary,TOPIK I,그것,it/that,그것은 제 책이에요,That is my book,그것을 주세요,Please give me that,
93,vocabulary,TOPIK I,그곳,there/that place,그곳에 가요,I go there,그곳은 조용해요,That place is quiet,
94,vocabulary,TOPIK I,까만색,black color,까만색 옷을 입어요,I wear black clothes,까만색 가방이에요,It is a black bag,
95,vocabulary,TOPIK I,까맣다,black,하늘이 까매요,The sky is dark,머리가 까매요,The hair is black,
96,vocabulary,TOPIK I,깎다,cut,과일을 깎아요,I peel fruit,머리를 깎았어요,I cut my hair,
97,vocabulary,TOPIK I,깜짝,startled,깜짝 놀랐어요,I was startled,깜짝 이벤트예요,It is a surprise event,
98,vocabulary,TOPIK I,깨끗하다,clean,방이 깨끗해요,The room is clean,물이 깨끗해요,The water is clean,
99,vocabulary,TOPIK I,깨다,wake up,아침에 깨요,I wake up in the morning,일찍 깼어요,I woke up early,
100,vocabulary,TOPIK I,깨지다,break/crack,유리가 깨졌어요,The glass broke,컵이 깨졌어요,The cup broke,
101,vocabulary,TOPIK I,꺼내다,take out,돈을 꺼내요,I take out money,책을 꺼냈어요,I took out a book,
102,vocabulary,TOPIK I,껌,chewing gum,껌을 씹어요,I chew gum,껌을 샀어요,I bought gum,
103,vocabulary,TOPIK I,꼭,absolutely,꼭 가야 해요,I must go,꼭 해요,I definitely do it,
104,vocabulary,TOPIK I,꽃,flower,꽃이 예뻐요,The flower is pretty,꽃을 샀어요,I bought flowers,
105,vocabulary,TOPIK I,꽃집,florist,꽃집에 가요,I go to the flower shop,꽃집이 있어요,There is a florist,
106,vocabulary,TOPIK I,꾸다,dream (verb),꿈을 꿔요,I dream,어제 꿈을 꿨어요,I had a dream yesterday,
107,vocabulary,TOPIK I,꿈,dream (noun),꿈이 있어요,I have a dream,꿈을 이야기해요,I talk about my dream,
108,vocabulary,TOPIK I,끄다,turn off,불을 꺼요,I turn off the light,컴퓨터를 껐어요,I turned off the computer,
109,vocabulary,TOPIK I,끓이다,boil,물을 끓여요,I boil water,국을 끓였어요,I boiled soup,
110,vocabulary,TOPIK I,끝,end,끝이 보여요,I see the end,끝에 있어요,It is at the end,
111,vocabulary,TOPIK I,끝나다,finish,수업이 끝나요,The class ends,일이 끝났어요,The work finished,
112,vocabulary,TOPIK I,끼다,put on,안경을 껴요,I wear glasses,반지를 꼈어요,I put on a ring,
113,vocabulary,TOPIK I,나,I,나는 학생이에요,I am a student,나는 집에 가요,I go home,
114,vocabulary,TOPIK I,나가다,go out,밖에 나가요,I go outside,친구와 나갔어요,I went out with a friend,
115,vocabulary,TOPIK I,나누다,share,음식을 나눠요,I share food,이야기를 나눠요,I share stories,
116,vocabulary,TOPIK I,나다,occur,문제가 났어요,A problem occurred,소리가 나요,A sound occurs,
117,vocabulary,TOPIK I,나라,country,나라가 커요,The country is big,어느 나라예요?,Which country is it?,
118,vocabulary,TOPIK I,나무,tree,나무가 많아요,There are many trees,나무를 심어요,I plant trees,
119,vocabulary,TOPIK I,나빠지다,get worse,날씨가 나빠졌어요,The weather got worse,상태가 나빠졌어요,The condition worsened,
120,vocabulary,TOPIK I,나쁘다,bad,기분이 나빠요,I feel bad,날씨가 나빠요,The weather is bad,
121,vocabulary,TOPIK I,나오다,come out/appear,밖에 나와요,I come outside,결과가 나왔어요,The result came out,
122,vocabulary,TOPIK I,나이,age,나이가 많아요,I am old,나이가 어려요,I am young,
123,vocabulary,TOPIK I,나중,later,나중에 만나요,See you later,나중에 해요,Do it later,
124,vocabulary,TOPIK I,나타나다,appear,문제가 나타났어요,A problem appeared,결과가 나타나요,The result appears,
125,vocabulary,TOPIK I,나흘,four days,나흘 동안 여행해요,I travel for four days,나흘 걸렸어요,It took four days,
126,vocabulary,TOPIK I,낚시,fishing,낚시를 해요,I go fishing,낚시가 재미있어요,Fishing is fun,
127,vocabulary,TOPIK I,날,day,좋은 날이에요,It is a good day,오늘 날이 좋아요,Today is a nice day,
128,vocabulary,TOPIK I,날씨,weather,날씨가 좋아요,The weather is nice,날씨가 추워요,The weather is cold,
129,vocabulary,TOPIK I,날짜,date,날짜를 확인해요,I check the date,날짜가 중요해요,The date is important,
130,vocabulary,TOPIK I,남,south,남쪽에 있어요,It is in the south,남쪽으로 가요,I go south,
131,vocabulary,TOPIK I,노래방,karaoke,노래방에 가요,I go to karaoke,노래방이 재미있어요,Karaoke is fun,
132,vocabulary,TOPIK I,노래하다,sing,노래해요,I sing,친구가 노래해요,My friend sings,
133,vocabulary,TOPIK I,노력하다,try hard,노력해요,I try hard,열심히 노력했어요,I tried hard,
134,vocabulary,TOPIK I,노트,notebook,노트를 써요,I write notes,노트를 샀어요,I bought a notebook,
135,vocabulary,TOPIK I,녹색,green,녹색 옷이에요,It is green clothes,녹색이 좋아요,I like green,
136,vocabulary,TOPIK I,녹차,green tea,녹차를 마셔요,I drink green tea,녹차가 좋아요,I like green tea,
137,vocabulary,TOPIK I,놀다,play,친구와 놀아요,I play with friends,밖에서 놀아요,I play outside,
138,vocabulary,TOPIK I,놀라다,be surprised,깜짝 놀랐어요,I was surprised,소식에 놀랐어요,I was surprised by the news,
139,vocabulary,TOPIK I,농구,basketball,농구를 해요,I play basketball,농구가 재미있어요,Basketball is fun,
140,vocabulary,TOPIK I,높다,high,산이 높아요,The mountain is high,가격이 높아요,The price is high,
141,vocabulary,TOPIK I,놓다,put/place,책을 놓아요,I put the book down,여기에 놓아요,Put it here,
142,vocabulary,TOPIK I,누가,who (subject),누가 왔어요?,Who came?,누가 했어요?,Who did it?,
143,vocabulary,TOPIK I,누구,who,누구예요?,Who is it?,누구를 만나요?,Who do you meet?,
144,vocabulary,TOPIK I,누나,older sister (for male),누나가 있어요,I have an older sister,누나와 이야기해요,I talk with my sister,
145,vocabulary,TOPIK I,누르다,press,버튼을 눌러요,I press the button,문을 눌렀어요,I pressed the doorbell,
146,vocabulary,TOPIK I,눈,eye,눈이 커요,The eyes are big,눈을 감아요,I close my eyes,
147,vocabulary,TOPIK I,눈물,tear,눈물이 나요,Tears come out,눈물을 흘려요,I shed tears,
148,vocabulary,TOPIK I,눈사람,snowman,눈사람을 만들어요,I make a snowman,눈사람이 있어요,There is a snowman,
149,vocabulary,TOPIK I,눈싸움,staring contest,눈싸움을 해요,I have a staring contest,눈싸움이 재미있어요,The staring contest is fun,
150,vocabulary,TOPIK I,눕다,lie down,침대에 누워요,I lie on the bed,바닥에 누웠어요,I lay on the floor,
151,vocabulary,TOPIK I,뉴스,news,뉴스를 봐요,I watch the news,뉴스가 중요해요,The news is important,
152,vocabulary,TOPIK I,뉴욕,New York,뉴욕에 가요,I go to New York,뉴욕이 커요,New York is big,
153,vocabulary,TOPIK I,느끼다,feel,행복을 느껴요,I feel happiness,감정을 느껴요,I feel emotions,
154,vocabulary,TOPIK I,다,all,다 먹었어요,I ate everything,다 좋아요,I like everything,
155,vocabulary,TOPIK I,다녀오다,come back,학교에 다녀왔어요,I came back from school,여행 다녀왔어요,I came back from a trip,
156,vocabulary,TOPIK I,다니다,attend/go regularly,학교에 다녀요,I attend school,회사를 다녀요,I go to work,
157,vocabulary,TOPIK I,다르다,different,생각이 달라요,The opinion is different,색이 달라요,The color is different,
158,vocabulary,TOPIK I,다리,bridge/leg,다리를 건너요,I cross the bridge,다리가 아파요,My leg hurts,
159,vocabulary,TOPIK I,다섯,five,다섯 개 있어요,There are five,다섯 명이 왔어요,Five people came,
160,vocabulary,TOPIK I,다시,again,다시 해요,I do it again,다시 만나요,See you again,
161,vocabulary,TOPIK I,다음,next,다음에 만나요,See you next time,다음 주에 가요,I go next week,
162,vocabulary,TOPIK I,더운물,hot water,더운물을 마셔요,I drink hot water,더운물이 필요해요,I need hot water,
163,vocabulary,TOPIK I,덕분,thanks to,덕분에 성공했어요,"Thanks to that, I succeeded",도와준 덕분이에요,It’s thanks to your help,
164,vocabulary,TOPIK I,덥다,hot (weather),날씨가 더워요,The weather is hot,여름은 더워요,Summer is hot,
165,vocabulary,TOPIK I,덮다,cover,이불을 덮어요,I cover with a blanket,책을 덮어요,I close the book,
166,vocabulary,TOPIK I,데리다,take/bring (person),아이를 데려가요,I take the child,친구를 데려왔어요,I brought a friend,
167,vocabulary,TOPIK I,데이트,date (romantic),데이트를 해요,I go on a date,데이트가 즐거워요,The date is fun,
168,vocabulary,TOPIK I,도로,road,도로를 건너요,I cross the road,도로가 넓어요,The road is wide,
169,vocabulary,TOPIK I,도서관,library,도서관에 가요,I go to the library,도서관에서 공부해요,I study at the library,
170,vocabulary,TOPIK I,도시,city,도시에 살아요,I live in a city,도시가 커요,The city is big,
171,vocabulary,TOPIK I,도움,help,도움을 받아요,I get help,도움이 필요해요,I need help,
172,vocabulary,TOPIK I,도착,arrival,도착이 늦어요,The arrival is late,도착을 기다려요,I wait for arrival,
173,vocabulary,TOPIK I,도착하다,arrive,집에 도착해요,I arrive home,공항에 도착했어요,I arrived at the airport,
174,vocabulary,TOPIK I,도쿄,Tokyo,도쿄에 가요,I go to Tokyo,도쿄가 커요,Tokyo is big,
175,vocabulary,TOPIK I,독서,reading,독서를 해요,I do reading,독서가 좋아요,I like reading,
176,vocabulary,TOPIK I,독서실,study room,독서실에 가요,I go to the study room,독서실이 조용해요,The study room is quiet,
177,vocabulary,TOPIK I,독서하다,read,책을 독서해요,I read a book,매일 독서해요,I read every day,
178,vocabulary,TOPIK I,독일,Germany,독일에 가요,I go to Germany,독일 사람이에요,I am German,
179,vocabulary,TOPIK I,돈,money,돈이 있어요,I have money,돈을 벌어요,I earn money,
180,vocabulary,TOPIK I,돌아가다,return/go back,집에 돌아가요,I return home,나라에 돌아가요,I go back to my country,
181,vocabulary,TOPIK I,돌아오다,come back,집에 돌아와요,I come back home,여행에서 돌아왔어요,I came back from a trip,
182,vocabulary,TOPIK I,돕다,help,친구를 도와요,I help a friend,사람을 도와요,I help people,
183,vocabulary,TOPIK I,동네,neighborhood,동네가 조용해요,The neighborhood is quiet,동네에 가요,I go to the neighborhood,
184,vocabulary,TOPIK I,동대문시장,Dongdaemun Market,동대문시장에 가요,I go to Dongdaemun Market,시장이 커요,The market is big,
185,vocabulary,TOPIK I,동물,animal,동물을 좋아해요,I like animals,동물이 많아요,There are many animals,
186,vocabulary,TOPIK I,동생,younger sibling,동생이 있어요,I have a younger sibling,동생과 놀아요,I play with my sibling,
187,vocabulary,TOPIK I,동아리,club,동아리에 들어요,I join a club,동아리 활동을 해요,I do club activities,
188,vocabulary,TOPIK I,동안,during,방학 동안 쉬어요,I rest during vacation,수업 동안 공부해요,I study during class,
189,vocabulary,TOPIK I,동양,eastern,동양 문화예요,It is Eastern culture,동양 사람이에요,I am Eastern,
190,vocabulary,TOPIK I,동전,coin,동전을 써요,I use coins,동전이 있어요,I have coins,
191,vocabulary,TOPIK I,동쪽,east,동쪽에 있어요,It is in the east,동쪽으로 가요,I go east,
192,vocabulary,TOPIK I,돼지,pig,돼지가 커요,The pig is big,돼지를 키워요,I raise pigs,
193,vocabulary,TOPIK I,돼지고기,pork,돼지고기를 먹어요,I eat pork,돼지고기가 맛있어요,Pork is delicious,
194,vocabulary,TOPIK I,되다,become,선생님이 돼요,I become a teacher,문제가 됐어요,It became a problem,
195,vocabulary,TOPIK I,된장,soybean paste,된장을 먹어요,I eat soybean paste,된장이 짜요,It is salty,
196,vocabulary,TOPIK I,된장국,soybean paste soup,된장국을 먹어요,I eat soybean soup,국이 따뜻해요,The soup is warm,
197,vocabulary,TOPIK I,된장찌개,soybean stew,된장찌개를 먹어요,I eat soybean stew,찌개가 맛있어요,The stew is delicious,
198,vocabulary,TOPIK I,두,two,두 개 있어요,There are two,두 명이 와요,Two people come,
199,vocabulary,TOPIK I,두껍다,thick,책이 두꺼워요,The book is thick,옷이 두꺼워요,The clothes are thick,
200,vocabulary,TOPIK I,두다,put/place,책을 둬요,I put the book,여기에 둬요,Put it here,
201,vocabulary,TOPIK I,묻다,ask,질문을 묻어요,I ask a question,선생님께 물었어요,I asked the teacher,
202,vocabulary,TOPIK I,물,water,물을 마셔요,I drink water,물이 차가워요,The water is cold,
203,vocabulary,TOPIK I,물건,item,물건을 사요,I buy items,물건이 많아요,There are many items,
204,vocabulary,TOPIK I,물론,of course,물론 가능해요,Of course it’s possible,물론이에요,Of course,
205,vocabulary,TOPIK I,물어보다,ask (someone),선생님께 물어봐요,I ask the teacher,친구에게 물어봤어요,I asked a friend,
206,vocabulary,TOPIK I,뭐,what,뭐 해요?,What are you doing?,이게 뭐예요?,What is this?,
207,vocabulary,TOPIK I,미국,United States,미국에 가요,I go to the US,미국 사람이에요,I am American,
208,vocabulary,TOPIK I,미래,future,미래를 생각해요,I think about the future,미래가 중요해요,The future is important,
209,vocabulary,TOPIK I,미리,beforehand,미리 준비해요,I prepare beforehand,미리 말해요,I tell in advance,
210,vocabulary,TOPIK I,미술,art,미술을 좋아해요,I like art,미술을 배워요,I learn art,
211,vocabulary,TOPIK I,미술관,art gallery,미술관에 가요,I go to the art gallery,미술관이 커요,The gallery is big,
212,vocabulary,TOPIK I,미안하다,sorry,미안해요,I am sorry,늦어서 미안해요,Sorry for being late,
213,vocabulary,TOPIK I,미안합니다,I am sorry,미안합니다,I am sorry,정말 미안합니다,I am really sorry,
214,vocabulary,TOPIK I,미용실,hair salon,미용실에 가요,I go to the salon,머리를 잘라요,I cut my hair,
215,vocabulary,TOPIK I,미터,meter,100미터예요,It is 100 meters,길이가 2미터예요,The length is 2 meters,
216,vocabulary,TOPIK I,민속촌,folk village,민속촌에 가요,I go to the folk village,민속촌이 유명해요,The folk village is famous,
217,vocabulary,TOPIK I,밀가루,flour,밀가루를 사용해요,I use flour,빵에 밀가루가 들어가요,Bread contains flour,
218,vocabulary,TOPIK I,밀리다,be pushed,사람이 밀려요,People are pushed,시간이 밀렸어요,The schedule was delayed,
219,vocabulary,TOPIK I,밑,bottom,밑에 있어요,It is below,책상 밑에 있어요,It is under the desk,
220,vocabulary,TOPIK I,바꾸다,change,생각을 바꿔요,I change my mind,옷을 바꿨어요,I changed clothes,
221,vocabulary,TOPIK I,배부르다,full (stomach),배가 불러요,I am full,너무 배불러요,I am very full,
222,vocabulary,TOPIK I,배우,actor,배우가 유명해요,The actor is famous,배우를 만났어요,I met an actor,
223,vocabulary,TOPIK I,배우다,learn,한국어를 배워요,I learn Korean,많이 배웠어요,I learned a lot,
224,vocabulary,TOPIK I,배탈,stomachache,배탈이 났어요,I got a stomachache,배가 아파요,My stomach hurts,
225,vocabulary,TOPIK I,백,100,백 원이에요,It is 100 won,백 명이 왔어요,100 people came,
226,vocabulary,TOPIK I,백화점,department store,백화점에 가요,I go to the department store,백화점이 커요,The store is big,
227,vocabulary,TOPIK I,버리다,throw away,쓰레기를 버려요,I throw away trash,물건을 버렸어요,I threw away items,
228,vocabulary,TOPIK I,버스,bus,버스를 타요,I take the bus,버스가 와요,The bus comes,
229,vocabulary,TOPIK I,번호,number,번호를 말해요,I say the number,번호를 적어요,I write the number,
230,vocabulary,TOPIK I,벌다,earn,돈을 벌어요,I earn money,많이 벌어요,I earn a lot,
231,vocabulary,TOPIK I,벌써,already,벌써 왔어요,I already came,벌써 끝났어요,It already finished,
232,vocabulary,TOPIK I,벗다,take off,옷을 벗어요,I take off clothes,신발을 벗어요,I take off shoes,
233,vocabulary,TOPIK I,벚꽃,cherry blossom,벚꽃이 예뻐요,The cherry blossoms are pretty,벚꽃을 봐요,I look at cherry blossoms,
234,vocabulary,TOPIK I,베이징,Beijing,베이징에 가요,I go to Beijing,베이징이 커요,Beijing is big,
235,vocabulary,TOPIK I,베트남,Vietnam,베트남에 가요,I go to Vietnam,베트남 사람이에요,I am Vietnamese,
236,vocabulary,TOPIK I,벽,wall,벽이 높아요,The wall is high,벽에 그림이 있어요,There is a picture on the wall,
237,vocabulary,TOPIK I,변호사,lawyer,변호사를 만났어요,I met a lawyer,변호사가 필요해요,I need a lawyer,
238,vocabulary,TOPIK I,별,star,별이 보여요,I see stars,별이 많아요,There are many stars,
239,vocabulary,TOPIK I,별로,not really,별로 좋아하지 않아요,I don’t really like it,별로 안 먹어요,I don’t really eat it,
240,vocabulary,TOPIK I,병,illness,병이 있어요,I have an illness,병이 나았어요,I recovered from illness,
241,vocabulary,TOPIK I,섬,island,섬에 가요,I go to an island,섬이 아름다워요,The island is beautiful,
242,vocabulary,TOPIK I,성,last name,성을 말해요,I say my last name,성이 뭐예요?,What is your last name?,
243,vocabulary,TOPIK I,성격,personality,성격이 좋아요,The personality is good,성격이 달라요,The personality is different,
244,vocabulary,TOPIK I,성함,name (honorific),성함이 어떻게 되세요?,What is your name? (polite),성함을 여쭤봐요,I ask your name,
245,vocabulary,TOPIK I,세계,world,세계가 넓어요,The world is wide,세계를 여행해요,I travel the world,
246,vocabulary,TOPIK I,세수하다,wash (face),세수를 해요,I wash my face,아침에 세수해요,I wash my face in the morning,
247,vocabulary,TOPIK I,세우다,set up/build,계획을 세워요,I make a plan,건물을 세워요,I build a building,
248,vocabulary,TOPIK I,세일하다,have a sale,세일을 해요,There is a sale,가게에서 세일해요,The store has a sale,
249,vocabulary,TOPIK I,세탁기,washing machine,세탁기를 사용해요,I use a washing machine,세탁기가 고장 났어요,The washing machine broke,
