id,type,level,keyword,title,explanation,example_1,translation_1,example_2,translation_2
65,grammar,TOPIK II,-(으)ㄴ/는 이유는,the reason is,Used to explain a reason,늦은 이유는 교통 때문이에요,The reason I was late is traffic,공부하는 이유는 목표가 있기 때문이에요,The reason I study is because I have a goal
66,grammar,TOPIK II,-(으)ㄴ 결과,as a result,Used to show result of an action,열심히 공부한 결과 합격했어요,"As a result of studying hard, I passed",노력한 결과 성공했어요,"As a result of effort, I succeeded"
67,grammar,TOPIK II,-(으)ㄴ 가운데,among,Used to indicate a situation within a group,많은 사람들 가운데 그를 찾았어요,I found him among many people,혼란스러운 가운데 결정을 했어요,I made a decision among confusion
68,grammar,TOPIK II,-(으)ㄴ 이상,since/now that,Used when a condition is already true,시작한 이상 끝내야 해요,"Since we started, we must finish",약속한 이상 지켜야 해요,"Now that you promised, you must keep it"
69,grammar,TOPIK II,-(으)ㄹ 예정이다,plan to,Used to express a planned action,내일 여행할 예정이에요,I plan to travel tomorrow,회의할 예정이에요,I plan to have a meeting
70,grammar,TOPIK II,-(으)ㄹ 가능성이 있다,possibility,Used to express possibility,비가 올 가능성이 있어요,There is a possibility of rain,문제가 생길 가능성이 있어요,There is a possibility a problem may occur
71,grammar,TOPIK II,-(으)ㄹ 수밖에 없다,have no choice,Used to express having no other option,늦어서 택시를 탈 수밖에 없어요,I had no choice but to take a taxi because I was late,비가 와서 집에 있을 수밖에 없어요,I had no choice but to stay home because it rained
72,grammar,TOPIK II,-(으)ㄹ지도 모르겠다,might,Used to express uncertainty or possibility,비가 올지도 모르겠어요,It might rain,그가 올지도 모르겠어요,He might come
73,grammar,TOPIK II,-(으)ㄹ 걸 그랬다,should have,Used to express regret about a past action,공부할 걸 그랬어요,I should have studied,일찍 갈 걸 그랬어요,I should have gone early
74,grammar,TOPIK II,-(으)ㄹ 줄 알았다,thought would,Used to express expectation that something would happen,올 줄 알았어요,I thought he would come,비가 올 줄 알았어요,I thought it would rain
75,grammar,TOPIK II,-(으)ㄹ 줄 몰랐다,didn’t know would,Used to express surprise or unexpected result,이렇게 어려울 줄 몰랐어요,I didn’t know it would be this difficult,그가 올 줄 몰랐어요,I didn’t know he would come
76,grammar,TOPIK II,-(으)ㄴ/는다고 하다,reported speech,Used to report a statement,그는 간다고 했어요,He said he would go,비가 온다고 했어요,He said it would rain
77,grammar,TOPIK II,-(으)라고 하다,command speech,Used to report a command,선생님이 공부하라고 했어요,The teacher told me to study,그가 기다리라고 했어요,He told me to wait
78,grammar,TOPIK II,-자고 하다,suggestion speech,Used to report a suggestion,친구가 같이 가자고 했어요,My friend suggested going together,그가 먹자고 했어요,He suggested eating
79,grammar,TOPIK II,-(으)ㄴ/는지 모르다,don’t know if,Used to express uncertainty about something,그가 오는지 몰라요,I don’t know if he is coming,맞는지 몰라요,I don’t know if it is correct
80,grammar,TOPIK II,-(으)ㄴ/는지 알다,know if,Used to express knowing about something,그가 오는지 알아요,I know if he is coming,문제가 있는지 알아요,I know if there is a problem
81,grammar,TOPIK II,-(으)ㄹ 때마다,every time,Used to express repetition whenever something happens,볼 때마다 웃어요,I smile every time I see it,그를 만날 때마다 기뻐요,I feel happy every time I meet him
82,grammar,TOPIK II,-(으)ㄴ 채,while in state,Used to maintain a state while doing something,눈을 감은 채 잤어요,I slept with my eyes closed,불을 켠 채 나갔어요,I went out with the light on
83,grammar,TOPIK II,-(으)ㄴ 김에,while at it,Used to do something additional while already doing something,온 김에 밥을 먹어요,"Since I’m here, I’ll eat",간 김에 친구를 만났어요,"Since I went, I met a friend"
84,grammar,TOPIK II,-(으)ㄴ 덕에,thanks to,Used to express a positive result,도와준 덕에 끝냈어요,"Thanks to your help, I finished",날씨 덕에 기분이 좋아요,"Thanks to the weather, I feel good"
85,grammar,TOPIK II,-(으)ㄴ 나머지,as a result,Used to express result of an extreme situation,너무 피곤한 나머지 잠들었어요,I was so tired that I fell asleep,긴장한 나머지 말을 못 했어요,I was so nervous that I couldn’t speak
86,grammar,TOPIK II,-(으)ㄹ 겸,for the purpose of,Used to express doing something for multiple purposes,운동할 겸 산책해요,I walk for exercise,공부할 겸 도서관에 갔어요,I went to the library to study
87,grammar,TOPIK II,-(으)ㄹ 뿐이다,just only,Used to emphasize that it is only that,나는 할 뿐이에요,I just do it,기다릴 뿐이에요,I just wait
88,grammar,TOPIK II,-(으)ㄹ 따름이다,nothing but,Used to emphasize a simple fact,노력할 따름이에요,I can only try,기다릴 따름이에요,I can only wait
89,grammar,TOPIK II,-(으)ㄹ 바에야,rather than,Used to choose one option over another,갈 바에야 집에 있어요,"Rather than go, I stay home",할 바에야 안 해요,I’d rather not do it
90,grammar,TOPIK II,-(으)ㄹ 정도로,to the extent that,Used to express degree,울 정도로 슬펐어요,I was sad enough to cry,힘들 정도로 일했어요,I worked to the point of exhaustion
